phone,base,count,tags
jy,j,15,consonant; len-1; palatalized
Ly,L,14,consonant; len-1; palatalized
Zy,Z,13,consonant; len-1; palatalized
8y,8,11,consonant; len-1; palatalized
Ty,T,11,consonant; len-1; palatalized
Xy,X,10,consonant; len-1; palatalized
4y,4,1,consonant; len-1; palatalized
cyh,c,17,consonant; len-1; palatalized; aspirated
syh,s,5,consonant; len-1; palatalized; aspirated
tyh,t,4,consonant; len-1; palatalized; aspirated
kyh,k,3,consonant; len-1; palatalized; aspirated
dyh,d,1,consonant; len-1; palatalized; aspirated
k"y,k,41,consonant; len-1; palatalized; glottalized
C"y,C,8,consonant; len-1; palatalized; glottalized
d"y,d,7,consonant; len-1; palatalized; glottalized
b"y,b,6,consonant; len-1; palatalized; glottalized
t"y,t,3,consonant; len-1; palatalized; glottalized
T"y,T,2,consonant; len-1; palatalized; glottalized
s"y,s,2,consonant; len-1; palatalized; glottalized
c"y,c,1,consonant; len-1; palatalized; glottalized
ky",k,1,consonant; len-1; palatalized; glottalized
p"y,p,1,consonant; len-1; palatalized; glottalized
ty",t,1,consonant; len-1; palatalized; glottalized
vy",v,1,consonant; len-1; palatalized; glottalized
kyw,k,3,consonant; len-1; palatalized; labialized
Tyw,T,1,consonant; len-1; palatalized; labialized
Zyw,Z,1,consonant; len-1; palatalized; labialized
syw,s,1,consonant; len-1; palatalized; labialized
tyw,t,1,consonant; len-1; palatalized; labialized
lyX,l,1,consonant; len-1; palatalized; pharyngealized
qX,q,47,consonant; len-1; pharyngealized
tX,t,45,consonant; len-1; pharyngealized
rX,r,38,consonant; len-1; pharyngealized
sX,s,29,consonant; len-1; pharyngealized
dX,d,18,consonant; len-1; pharyngealized
lX,l,18,consonant; len-1; pharyngealized
mX,m,14,consonant; len-1; pharyngealized
XX,X,11,consonant; len-1; pharyngealized
bX,b,10,consonant; len-1; pharyngealized
nX,n,8,consonant; len-1; pharyngealized
zX,z,8,consonant; len-1; pharyngealized
8X,8,6,consonant; len-1; pharyngealized
kX,k,5,consonant; len-1; pharyngealized
LX,L,3,consonant; len-1; pharyngealized
ZX,Z,3,consonant; len-1; pharyngealized
pX,p,3,consonant; len-1; pharyngealized
!X,!,2,consonant; len-1; pharyngealized
qXX,q,2,consonant; len-1; pharyngealized
5X,5,1,consonant; len-1; pharyngealized
CX,C,1,consonant; len-1; pharyngealized
GX,G,1,consonant; len-1; pharyngealized
NX,N,1,consonant; len-1; pharyngealized
SX,S,1,consonant; len-1; pharyngealized
TX,T,1,consonant; len-1; pharyngealized
cX,c,1,consonant; len-1; pharyngealized
hX,h,1,consonant; len-1; pharyngealized
jX,j,1,consonant; len-1; pharyngealized
q"X,q,9,consonant; len-1; pharyngealized; glottalized
t"X,t,4,consonant; len-1; pharyngealized; glottalized
c"X,c,1,consonant; len-1; pharyngealized; glottalized
p"X,p,1,consonant; len-1; pharyngealized; glottalized
qX",q,1,consonant; len-1; pharyngealized; glottalized
XXw,X,1,consonant; len-1; pharyngealized; labialized
qXw,q,1,consonant; len-1; pharyngealized; labialized
rx,r,32,consonant; len-1; velarized
nx,n,31,consonant; len-1; velarized
kx,k,26,consonant; len-1; velarized
tx,t,21,consonant; len-1; velarized
sx,s,19,consonant; len-1; velarized
Nx,N,13,consonant; len-1; velarized
!x,!,12,consonant; len-1; velarized
cx,c,12,consonant; len-1; velarized
lx,l,9,consonant; len-1; velarized
Cx,C,8,consonant; len-1; velarized
Sx,S,8,consonant; len-1; velarized
mx,m,7,consonant; len-1; velarized
px,p,7,consonant; len-1; velarized
bx,b,5,consonant; len-1; velarized
dx,d,5,consonant; len-1; velarized
hx,h,4,consonant; len-1; velarized
gx,g,3,consonant; len-1; velarized
7x,7,2,consonant; len-1; velarized
qx,q,1,consonant; len-1; velarized
vx,v,1,consonant; len-1; velarized
kx",k,7,consonant; len-1; velarized; glottalized
Nxw,N,3,consonant; len-1; velarized; labialized
kxw,k,2,consonant; len-1; velarized; labialized
!xw,!,1,consonant; len-1; velarized; labialized
bxw,b,1,consonant; len-1; velarized; labialized
qxw,q,1,consonant; len-1; velarized; labialized
kp,kp,578,consonant; len-2
gb,gb,356,consonant; len-2
tr,tr,103,consonant; len-2
tL,tL,88,consonant; len-2
rn,rn,42,consonant; len-2
dr,dr,41,consonant; len-2
tl,tl,41,consonant; len-2
hn,hn,35,consonant; len-2
tS,tS,35,consonant; len-2
bv,bv,34,consonant; len-2
l7,l7,34,consonant; len-2
pf,pf,33,consonant; len-2
cz,cz,32,consonant; len-2
dL,dL,32,consonant; len-2
t8,t8,26,consonant; len-2
sz,sz,25,consonant; len-2
7d,7d,24,consonant; len-2
r7,r7,24,consonant; len-2
t7,t7,23,consonant; len-2
!7,!7,21,consonant; len-2
kl,kl,19,consonant; len-2
sr,sr,19,consonant; len-2
hm,hm,18,consonant; len-2
hk,hk,17,consonant; len-2
hl,hl,17,consonant; len-2
tn,tn,16,consonant; len-2
TS,TS,15,consonant; len-2
c7,c7,15,consonant; len-2
dn,dn,15,consonant; len-2
ht,ht,15,consonant; len-2
s7,s7,14,consonant; len-2
Nm,Nm,13,consonant; len-2
kN,kN,13,consonant; len-2
pm,pm,13,consonant; len-2
!g,!g,12,consonant; len-2
SZ,SZ,12,consonant; len-2
k7,k7,11,consonant; len-2
n5,n5,11,consonant; len-2
dz,dz,10,consonant; len-2
!N,!N,9,consonant; len-2
ml,ml,9,consonant; len-2
pl,pl,9,consonant; len-2
pv,pv,9,consonant; len-2
S7,S7,8,consonant; len-2
bl,bl,8,consonant; len-2
dZ,dZ,8,consonant; len-2
dl,dl,8,consonant; len-2
g!,g!,8,consonant; len-2
g7,g7,8,consonant; len-2
L7,L7,7,consonant; len-2
bg,bg,7,consonant; len-2
fv,fv,7,consonant; len-2
gv,gv,7,consonant; len-2
hr,hr,7,consonant; len-2
lv,lv,7,consonant; len-2
rt,rt,7,consonant; len-2
7n,7n,6,consonant; len-2
C7,C7,6,consonant; len-2
d7,d7,6,consonant; len-2
gl,gl,6,consonant; len-2
hp,hp,6,consonant; len-2
ks,ks,6,consonant; len-2
kv,kv,6,consonant; len-2
ps,ps,6,consonant; len-2
rd,rd,6,consonant; len-2
CZ,CZ,5,consonant; len-2
dj,dj,5,consonant; len-2
h5,h5,5,consonant; len-2
kf,kf,5,consonant; len-2
nr,nr,5,consonant; len-2
tv,tv,5,consonant; len-2
!n,!n,4,consonant; len-2
7b,7b,4,consonant; len-2
Cv,Cv,4,consonant; len-2
b7,b7,4,consonant; len-2
bm,bm,4,consonant; len-2
dT,dT,4,consonant; len-2
dv,dv,4,consonant; len-2
h7,h7,4,consonant; len-2
hv,hv,4,consonant; len-2
rl,rl,4,consonant; len-2
sZ,sZ,4,consonant; len-2
sv,sv,4,consonant; len-2
tf,tf,4,consonant; len-2
tj,tj,4,consonant; len-2
tk,tk,4,consonant; len-2
x7,x7,4,consonant; len-2
5n,5n,3,consonant; len-2
Cr,Cr,3,consonant; len-2
Nn,Nn,3,consonant; len-2
Xs,Xs,3,consonant; len-2
ZZ,ZZ,3,consonant; len-2
gn,gn,3,consonant; len-2
hs,hs,3,consonant; len-2
kj,kj,3,consonant; len-2
nN,nN,3,consonant; len-2
nl,nl,3,consonant; len-2
p7,p7,3,consonant; len-2
q!,q!,3,consonant; len-2
q7,q7,3,consonant; len-2
rj,rj,3,consonant; len-2
rr,rr,3,consonant; len-2
sl,sl,3,consonant; len-2
!k,!k,2,consonant; len-2
!r,!r,2,consonant; len-2
7m,7m,2,consonant; len-2
87,87,2,consonant; len-2
CS,CS,2,consonant; len-2
Cf,Cf,2,consonant; len-2
Nl,Nl,2,consonant; len-2
Nr,Nr,2,consonant; len-2
Sf,Sf,2,consonant; len-2
Tj,Tj,2,consonant; len-2
Tv,Tv,2,consonant; len-2
Z7,Z7,2,consonant; len-2
cv,cv,2,consonant; len-2
d8,d8,2,consonant; len-2
fl,fl,2,consonant; len-2
fs,fs,2,consonant; len-2
gN,gN,2,consonant; len-2
hN,hN,2,consonant; len-2
hc,hc,2,consonant; len-2
jZ,jZ,2,consonant; len-2
kn,kn,2,consonant; len-2
mm,mm,2,consonant; len-2
mr,mr,2,consonant; len-2
pS,pS,2,consonant; len-2
sf,sf,2,consonant; len-2
st,st,2,consonant; len-2
tT,tT,2,consonant; len-2
xk,xk,2,consonant; len-2
xv,xv,2,consonant; len-2
zn,zn,2,consonant; len-2
zr,zr,2,consonant; len-2
!S,!S,1,consonant; len-2
!d,!d,1,consonant; len-2
!t,!t,1,consonant; len-2
7C,7C,1,consonant; len-2
7S,7S,1,consonant; len-2
7g,7g,1,consonant; len-2
7j,7j,1,consonant; len-2
7s,7s,1,consonant; len-2
S8,S8,1,consonant; len-2
Sb,Sb,1,consonant; len-2
Sk,Sk,1,consonant; len-2
Sr,Sr,1,consonant; len-2
St,St,1,consonant; len-2
Sv,Sv,1,consonant; len-2
T5,T5,1,consonant; len-2
Xk,Xk,1,consonant; len-2
Xl,Xl,1,consonant; len-2
Xm,Xm,1,consonant; len-2
Xt,Xt,1,consonant; len-2
Zv,Zv,1,consonant; len-2
bT,bT,1,consonant; len-2
bq,bq,1,consonant; len-2
cb,cb,1,consonant; len-2
dt,dt,1,consonant; len-2
fk,fk,1,consonant; len-2
fr,fr,1,consonant; len-2
gk,gk,1,consonant; len-2
gr,gr,1,consonant; len-2
hC,hC,1,consonant; len-2
hS,hS,1,consonant; len-2
hq,hq,1,consonant; len-2
j7,j7,1,consonant; len-2
jv,jv,1,consonant; len-2
kS,kS,1,consonant; len-2
kr,kr,1,consonant; len-2
lZ,lZ,1,consonant; len-2
lm,lm,1,consonant; len-2
mN,mN,1,consonant; len-2
nL,nL,1,consonant; len-2
nm,nm,1,consonant; len-2
pd,pd,1,consonant; len-2
pk,pk,1,consonant; len-2
pn,pn,1,consonant; len-2
pr,pr,1,consonant; len-2
r5,r5,1,consonant; len-2
rg,rg,1,consonant; len-2
rp,rp,1,consonant; len-2
sC,sC,1,consonant; len-2
sc,sc,1,consonant; len-2
sn,sn,1,consonant; len-2
ss,ss,1,consonant; len-2
tc,tc,1,consonant; len-2
ts,ts,1,consonant; len-2
tt,tt,1,consonant; len-2
v7,v7,1,consonant; len-2
vl,vl,1,consonant; len-2
vn,vn,1,consonant; len-2
vr,vr,1,consonant; len-2
xS,xS,1,consonant; len-2
xc,xc,1,consonant; len-2
xq,xq,1,consonant; len-2
zl,zl,1,consonant; len-2
zz,zz,1,consonant; len-2
q!h,q!,5,consonant; len-2; aspirated
!kh,!k,4,consonant; len-2; aspirated
t8h,t8,4,consonant; len-2; aspirated
tLh,tL,4,consonant; len-2; aspirated
tSh,tS,3,consonant; len-2; aspirated
tlh,tl,3,consonant; len-2; aspirated
dlh,dl,2,consonant; len-2; aspirated
7rh,7r,1,consonant; len-2; aspirated
b7h,b7,1,consonant; len-2; aspirated
dth,dt,1,consonant; len-2; aspirated
pfh,pf,1,consonant; len-2; aspirated
trh,tr,1,consonant; len-2; aspirated
tsh,ts,1,consonant; len-2; aspirated
tth,tt,1,consonant; len-2; aspirated
tL",tL,45,consonant; len-2; glottalized
t"8,t8,25,consonant; len-2; glottalized
k"v,kv,2,consonant; len-2; glottalized
k"7,k7,1,consonant; len-2; glottalized
pf",pf,1,consonant; len-2; glottalized
p"r,pr,1,consonant; len-2; glottalized
t8",t8,1,consonant; len-2; glottalized
tS",tS,1,consonant; len-2; glottalized
tl",tl,1,consonant; len-2; glottalized
kpw,kp,33,consonant; len-2; labialized
gbw,gb,4,consonant; len-2; labialized
hkw,hk,4,consonant; len-2; labialized
pfw,pf,3,consonant; len-2; labialized
bvw,bv,2,consonant; len-2; labialized
drw,dr,2,consonant; len-2; labialized
rkw,rk,2,consonant; len-2; labialized
t8w,t8,2,consonant; len-2; labialized
!nw,!n,1,consonant; len-2; labialized
Skw,Sk,1,consonant; len-2; labialized
bmw,bm,1,consonant; len-2; labialized
n5w,n5,1,consonant; len-2; labialized
nrw,nr,1,consonant; len-2; labialized
skw,sk,1,consonant; len-2; labialized
srw,sr,1,consonant; len-2; labialized
tfw,tf,1,consonant; len-2; labialized
TSy,TS,5,consonant; len-2; palatalized
tly,tl,3,consonant; len-2; palatalized
ddy,dd,2,consonant; len-2; palatalized
gby,gb,2,consonant; len-2; palatalized
hry,hr,2,consonant; len-2; palatalized
Cny,Cn,1,consonant; len-2; palatalized
SZy,SZ,1,consonant; len-2; palatalized
cny,cn,1,consonant; len-2; palatalized
djy,dj,1,consonant; len-2; palatalized
kpy,kp,1,consonant; len-2; palatalized
ldy,ld,1,consonant; len-2; palatalized
nry,nr,1,consonant; len-2; palatalized
tL"y,tL,1,consonant; len-2; palatalized; glottalized
tLX,tL,1,consonant; len-2; pharyngealized
nd,nd,2003,consonant; len-2; prenasalized
mb,mb,1665,consonant; len-2; prenasalized
Ng,Ng,1057,consonant; len-2; prenasalized
nt,nt,600,consonant; len-2; prenasalized
ng,ng,274,consonant; len-2; prenasalized
mp,mp,272,consonant; len-2; prenasalized
Nk,Nk,268,consonant; len-2; prenasalized
nj,nj,223,consonant; len-2; prenasalized
nz,nz,153,consonant; len-2; prenasalized
nc,nc,151,consonant; len-2; prenasalized
nk,nk,93,consonant; len-2; prenasalized
nC,nC,85,consonant; len-2; prenasalized
nT,nT,68,consonant; len-2; prenasalized
mv,mv,63,consonant; len-2; prenasalized
ns,ns,56,consonant; len-2; prenasalized
n!,n!,39,consonant; len-2; prenasalized
m7,m7,32,consonant; len-2; prenasalized
n8,n8,26,consonant; len-2; prenasalized
n7,n7,24,consonant; len-2; prenasalized
nv,nv,22,consonant; len-2; prenasalized
mf,mf,21,consonant; len-2; prenasalized
nS,nS,20,consonant; len-2; prenasalized
nb,nb,19,consonant; len-2; prenasalized
4d,4d,17,consonant; len-2; prenasalized
nZ,nZ,17,consonant; len-2; prenasalized
N7,N7,16,consonant; len-2; prenasalized
5T,5T,13,consonant; len-2; prenasalized
np,np,12,consonant; len-2; prenasalized
5j,5j,10,consonant; len-2; prenasalized
N!,N!,8,consonant; len-2; prenasalized
Nq,Nq,8,consonant; len-2; prenasalized
nq,nq,7,consonant; len-2; prenasalized
mt,mt,6,consonant; len-2; prenasalized
NG,NG,5,consonant; len-2; prenasalized
nf,nf,5,consonant; len-2; prenasalized
57,57,4,consonant; len-2; prenasalized
Nb,Nb,4,consonant; len-2; prenasalized
5C,5C,3,consonant; len-2; prenasalized
Nd,Nd,3,consonant; len-2; prenasalized
mZ,mZ,3,consonant; len-2; prenasalized
md,md,3,consonant; len-2; prenasalized
ms,ms,3,consonant; len-2; prenasalized
mz,mz,3,consonant; len-2; prenasalized
5v,5v,2,consonant; len-2; prenasalized
4j,4j,1,consonant; len-2; prenasalized
4t,4t,1,consonant; len-2; prenasalized
5Z,5Z,1,consonant; len-2; prenasalized
5d,5d,1,consonant; len-2; prenasalized
NC,NC,1,consonant; len-2; prenasalized
NT,NT,1,consonant; len-2; prenasalized
Np,Np,1,consonant; len-2; prenasalized
Ns,Ns,1,consonant; len-2; prenasalized
Nt,Nt,1,consonant; len-2; prenasalized
m!,m!,1,consonant; len-2; prenasalized
mC,mC,1,consonant; len-2; prenasalized
mj,mj,1,consonant; len-2; prenasalized
mk,mk,1,consonant; len-2; prenasalized
nth,nt,15,consonant; len-2; prenasalized; aspirated
mph,mp,11,consonant; len-2; prenasalized; aspirated
nCh,nC,9,consonant; len-2; prenasalized; aspirated
Nkh,Nk,7,consonant; len-2; prenasalized; aspirated
nch,nc,6,consonant; len-2; prenasalized; aspirated
5Ch,5C,3,consonant; len-2; prenasalized; aspirated
mbh,mb,3,consonant; len-2; prenasalized; aspirated
ndh,nd,3,consonant; len-2; prenasalized; aspirated
nsh,ns,3,consonant; len-2; prenasalized; aspirated
Nqh,Nq,2,consonant; len-2; prenasalized; aspirated
mqh,mq,1,consonant; len-2; prenasalized; aspirated
nkh,nk,1,consonant; len-2; prenasalized; aspirated
nqh,nq,1,consonant; len-2; prenasalized; aspirated
nzh,nz,1,consonant; len-2; prenasalized; aspirated
nk",nk,3,consonant; len-2; prenasalized; glottalized
nt",nt,3,consonant; len-2; prenasalized; glottalized
Nk",Nk,2,consonant; len-2; prenasalized; glottalized
nc",nc,2,consonant; len-2; prenasalized; glottalized
nC",nC,1,consonant; len-2; prenasalized; glottalized
mbw,mb,94,consonant; len-2; prenasalized; labialized
Ngw,Ng,92,consonant; len-2; prenasalized; labialized
Nkw,Nk,14,consonant; len-2; prenasalized; labialized
ngw,ng,14,consonant; len-2; prenasalized; labialized
ndw,nd,11,consonant; len-2; prenasalized; labialized
ntw,nt,10,consonant; len-2; prenasalized; labialized
mvw,mv,7,consonant; len-2; prenasalized; labialized
njw,nj,6,consonant; len-2; prenasalized; labialized
mfw,mf,5,consonant; len-2; prenasalized; labialized
mpw,mp,4,consonant; len-2; prenasalized; labialized
nCw,nC,3,consonant; len-2; prenasalized; labialized
ncw,nc,3,consonant; len-2; prenasalized; labialized
nzw,nz,3,consonant; len-2; prenasalized; labialized
nsw,ns,2,consonant; len-2; prenasalized; labialized
nvw,nv,2,consonant; len-2; prenasalized; labialized
n!w,n!,1,consonant; len-2; prenasalized; labialized
nTw,nT,1,consonant; len-2; prenasalized; labialized
nfw,nf,1,consonant; len-2; prenasalized; labialized
nkw,nk,1,consonant; len-2; prenasalized; labialized
nkw",nk,2,consonant; len-2; prenasalized; labialized; glottalized
Ngw*,Ng,1,consonant; len-2; prenasalized; labialized; nasalized
ndy,nd,33,consonant; len-2; prenasalized; palatalized
Ngy,Ng,25,consonant; len-2; prenasalized; palatalized
mpy,mp,24,consonant; len-2; prenasalized; palatalized
5dy,5d,13,consonant; len-2; prenasalized; palatalized
mby,mb,12,consonant; len-2; prenasalized; palatalized
Nky,Nk,7,consonant; len-2; prenasalized; palatalized
nty,nt,7,consonant; len-2; prenasalized; palatalized
nky,nk,6,consonant; len-2; prenasalized; palatalized
nCy,nC,2,consonant; len-2; prenasalized; palatalized
nTy,nT,2,consonant; len-2; prenasalized; palatalized
ncy,nc,2,consonant; len-2; prenasalized; palatalized
nzy,nz,2,consonant; len-2; prenasalized; palatalized
nSy,nS,1,consonant; len-2; prenasalized; palatalized
nZy,nZ,1,consonant; len-2; prenasalized; palatalized
nfy,nf,1,consonant; len-2; prenasalized; palatalized
ngy,ng,1,consonant; len-2; prenasalized; palatalized
njy,nj,1,consonant; len-2; prenasalized; palatalized
nsy,ns,1,consonant; len-2; prenasalized; palatalized
ndX,nd,1,consonant; len-2; prenasalized; pharyngealized
mbx,mb,3,consonant; len-2; prenasalized; velarized
Ngx,Ng,1,consonant; len-2; prenasalized; velarized
!gx,!g,2,consonant; len-2; velarized
chz,chz,9,consonant; len-3
kx7,kx7,7,consonant; len-3
!x7,!x7,5,consonant; len-3
kw7,kw7,5,consonant; len-3
vrd,vrd,5,consonant; len-3
Chv,Chv,4,consonant; len-3
chv,chv,4,consonant; len-3
thl,thl,4,consonant; len-3
khv,khv,3,consonant; len-3
cy7,cy7,2,consonant; len-3
qmb,qmb,2,consonant; len-3
rnd,rnd,2,consonant; len-3
thv,thv,2,consonant; len-3
tl7,tl7,2,consonant; len-3
